repository_name;language
concept-tagging-training;Python
condor;
conduit_cms;
content-guide;CSS
Coordinate-systems-class-library;C++
COTS-Star-Tracker;Python
CPB;
cpr;OCaml
cratous;C
crew-state-risk-model;
CrisisMappingToolkit;Python
CryptoLib;C
CS;C
CTF;Python
CTT;Apex
cumulus;JavaScript
cumulus-api;HTML
cumulus-circleci-image;Shell
cumulus-dashboard;JavaScript
cumulus-distribution-api;JavaScript
cumulus-docs;JavaScript
cumulus-ecs-task;JavaScript
cumulus-ecs-task-python;Python
cumulus-integration-tests;JavaScript
cumulus-message-adapter;Python
cumulus-message-adapter-java;Java
cumulus-message-adapter-js;JavaScript
cumulus-message-adapter-python;Python
cumulus-orca;Python
cumulus-process-py;Python
cumulus-process-py-seed;Python
cumulus-template-deploy;HCL
CVAE;Python
daa-displays;TypeScript
dagvision;
daidalus;C++
DANTi;TypeScript
data-nasa-gov-frontpage;SCSS
data.nasa.gov;CSS
DAVEtools;Java
dawn-grand-toolbox;IDL
dcapp;C++
DCATUS-Validator;JavaScript
DdsJs;C++
delete;
delta;Python
denem;
DERT;Java
dictionaries;HTML
digital-strategy;HTML
DNG-Data;
DON-Federate-HLA2MPC;HTML
dorado-scheduling;Python
dorado-sensitivity;Jupyter Notebook
dorado-streamlit;Python
drf;
DS;C
dss;Go
DTN-Network-Monitoring;
DTNME;C++
DualPol;Jupyter Notebook
dvae;Jupyter Notebook
EADINLite;C++
earth-imagery-api;Python
Earthdata-cloud-playground;Jupyter Notebook
earthdata-download;TypeScript
earthdata-search;JavaScript
earthdata-varinfo;Python
ecco-interactive-solution-evaluator;JavaScript
ECI;C
ECOSTRESS-Data-Resources;Jupyter Notebook
edsc-echoforms;JavaScript
edsc-geo;JavaScript
edsc-smart-handoffs;JavaScript
edsc-timeline;JavaScript
EdsLib;C
eefs;C
elf2cfetbl;C
EMIT-Data-Resources;HTML
EMTAT;MATLAB
EMTG;C++
eo-metadata-tools;Python
esdis-data-catalog;TypeScript
ESPRESSO;
europa;C++
Exominer;
exoplnt-dl;
exoscene;Jupyter Notebook
ExoVista;
fe3;
feature_selection_tool;Python
FEI;Java
Field-Data-Collector;
FilePlottingTools;
FM;C
fmdtools;HTML
Foundation;C++
fpp;C++
fprime;C++
fprime-gds;JavaScript
fprime-tools;Python
FPRoCK;Python
fs_lib;
GEDI-Data-Resources;Jupyter Notebook
GeneLab-sampleProcessing;
GeneLab-Training;HTML
GeneLab_Data_Processing;Jupyter Notebook
Generic-Urban-Air-Mobility-GUAM;MATLAB
gen_msgids;C
gen_sch_tbl;C
geolambda;Python
GeoNEXTools;R
georef;Python
georef_deploy;Ruby
georef_geocamtiepoint;Python
georef_geocamutilweb;Python
georef_imageregistration;Python
gesdisc-cloud-tutorials;Jupyter Notebook
gesdisc-meditor;TypeScript
gesdisc-tutorials;Jupyter Notebook
GFR;Fortran
gFTL;Fortran
GHRC-Cloud-Browse;JavaScript
GHRC-FieldCampaign-eXplorer-core;Jupyter Notebook
GHRC-FieldCampaign-eXplorer-UI;JavaScript
GHRC-PyLOT;Python
giant;Python
gigatraj;C++
Giovanni;Perl
github-latest-commits-widget;JavaScript
GlennOPT;Jupyter Notebook
glm_ql;Python
GMSEC_API;C++
GPU_SDR;HTML
grc-atf-kms-tools;Python
grc-atf-meza-config;
GRC-LunarSiteAvailabilitySoftware-Data;
GSAP;C++
GTM_DesignSim;MATLAB
gunns;C++
harmony;TypeScript
harmony-browse-image-generator;Python
harmony-dttb;
harmony-gdal-adapter;Python
harmony-maskfill;
harmony-netcdf-to-zarr;Python
harmony-opendap-subsetter;Python
harmony-py;Python
harmony-qgis;Python
harmony-regression-tests;Jupyter Notebook
harmony-regridding-service;Python
harmony-service-example;Python
harmony-service-lib-py;Python
harmony-SMAP-L2-gridding-service;Python
harmony-swath-projector;Python
harmony-trajectory-subsetter;
HDTN;C++
HDTN-BPCodec;C++
HeaTTSPy;Python
HECC-Data;
HK;C
HLS-Data-Resources;Jupyter Notebook
HS;C
hybridq;Python
HyperCP;Python
icarous;C
icc;MATLAB
idas-test;
IDEAS;
IDF;C++
instructions;HTML
ipv6_python;Python
irg_open;C++
isaac;Jupyter Notebook
isaac_msgs;CMake
isaac_user_interface;JavaScript
isce3-test;
isle;JavaScript
ISS_Camera_Geolocate;Jupyter Notebook
jeod;C++
JHU-PIV-data;HTML
K2CE;Python
Kamodo;Jupyter Notebook
Kamodo-core;Python
Kepler-FLTI;Python
kepler-pipeline;C
Kepler-PyKE;Python
kepler-robovetter;C++
KeplerPORTs;Python
knife;C
Kodiak;C++
kombyne;C++
koviz;C++
lager;C++
LC;C
legacy-mars-global-climate-model;Jupyter Notebook
lfc;Python
lfc-doc;
LH2Sim;Matlab
LHASA;Python
Li-ion-Battery-Prognosis-Based-on-Hybrid-Bayesian-PINN;Python
libSPRITE;C++
Lightkurve;Python
Loupe;Python
Low-Surface-Brightness-Extragalactic-Science;
LPDAAC-Data-Resources;Jupyter Notebook
LSDAO;Makefile
maestro;
MAV;Limbo
MCMCPy;OpenEdge ABL
MCT-Plugins;Java
MD;C
MDE-SDK;
meshNetwork;C++
meza;JavaScript
MFISPy;Python
mika;Python
MiniWall;JavaScript
MINX;Prolog
MISR-Toolkit;C
MISR-View;IDL
mission-viz;HTML
Mixed-Reality-Exploration-Toolkit;C#
ML-airport-arrival-runway;Python
ML-airport-configuration;Python
ML-airport-data-services;Python
ML-airport-departure-runway;Python
ML-airport-estimated-ON;Python
ML-airport-taxi-in;Python
ML-airport-taxi-out;Python
MLMCPy;Python
MM;C
MMM-Py;Jupyter Notebook
mmt;Ruby
modisconverter;Python
monitoring;Python
MOSAIC;Python
MPEC;
mplStyle;Python
MPplugin;
MSF-BE;
Multi-Process-Proxy;C
Multi-Process-Proxy-Client;C
Multi-Process-Proxy-Events;C
MultiDop;C
multihole-probe-calibration;Jupyter Notebook
multipath-tcp-tools;C++
muscat;MATLAB
MXMCPy;Python
nasa;
NASA-3D-Resources;
NASA-Acronyms;JavaScript
nasa-data-vis;
nasa-interuss;
nasa-latex-docs;TeX
nasa-soteria-processing-code;Python
NASA-Space-Weather-Media-Viewer;
NASAaccess;R
nasapress;PHP
nasapress-companion;PHP
nasawds-old;JavaScript
nasawds-site;HTML
NASMAT;
NASTRAN-93;FORTRAN
NASTRAN-95;FORTRAN
ncompare;Python
NEO;
nos3;C
NPSS-Power-System-Library;PLSQL
OED-with-NN-surrogates;R
ogma;Haskell
ominas;IDL
ominas_maps;
OnAIR;Python
Open-Gov-Plan-v4;
open-science-tools;
Open-Source-Catalog;JavaScript
openmct;JavaScript
openmct-demo;CSS
openmct-heatmap;JavaScript
openmct-hello;JavaScript
openmct-legacy-plugin;JavaScript
openmct-map;JavaScript
openmct-python-view-generator;
openmct-tutorial;JavaScript
OpenMDAO-Framework;Python
OpenSPIFe;Java
OpenVSP;C++
OpenVSP3Plugin;Java
opera-sds;Python
opera-sds-bach-api;Python
opera-sds-bach-ui;JavaScript
opera-sds-int;Python
opera-sds-lambdas;Python
opera-sds-ops;Python
opera-sds-pcm;Python
opera-sds-pge;Python
opera-sds-sys;Python
OpticalConstantDatabase;
osal;C
OSDR_Data_Curation;
OSDR_Tutorials;Python
OSS;JavaScript
Oversight;Python
ow_autonomy;C++
ow_enceladus;
ow_europa;GLSL
ow_simulator;Python
PanNDE;C++
pato;Roff
pbs4py;Python
pclam;Python
perfutils-java;
pigans-material-ID;Python
PLEXIL5;Java
Plot3D_utilities;Jupyter Notebook
podaacpy;Python
podaac_tools_and_services;Python
PoDS;
PointCloudsVR;C++
PolyCARP;HTML
polyfit;C++
Practical-Micromechanics;MATLAB
PRECiSA;Haskell
pretrained-microscopy-models;Jupyter Notebook
PrognosticsAlgorithmLibrary;MATLAB
PrognosticsMetricsLibrary;MATLAB
PrognosticsModelLibrary;MATLAB
progpy;Python
prog_algs;
prog_models;
prog_server;Python
PROTEUS;Python
PSP;C
puma;C++
puppies;
PVS-ANTLR;Java
pvslib;Common Lisp
PyAMPR;Jupyter Notebook
PyBlock;Jupyter Notebook
pyCMR;Python
pycomdes-gui;
pycomdes-lib;
pyDownlinkParser;Python
PyGNSS;Jupyter Notebook
pymdptoolbox;Python
PyMKAD;Python
pyrefine;Python
PySA;Jupyter Notebook
PyTDA;Jupyter Notebook
python_cmr;Python
pyturbo-aero;Jupyter Notebook
QuIP;C
radbelt;Python
Rapid-Model-Import-Tool;Python
rbf;Fortran
refine;C
reflow;C
Reinforcement-Learning-Benchmarking;Shell
resample_GLISTIN_DEMs;Python
RHEAS;Python
Rigid-Geometric-Algebra;MATLAB
rjnieves-open-repo;
ROSES-Compliance-Checking-Tools;Python
rtap;
RtRetrievalFramework;C++
RtRetrievalFrameworkDoc;Python
russ-open-source;
RVLib;C++
S4P;Perl
S4PA;Perl
SAFE-DART;C++
SALaD;Python
sample_app;C
sample_lib;C
SBN;C
SBN-Client;C
SC;C
SCA;C
SCH;C
sch_lab;C
scifen-solver;C
scrub;Python
SDN-HDTN;P4
Second-Generation-Beacon-Performance-Analysis-Test-Tools;MATLAB
SGNDI;
shocktube;Python
SIL;MATLAB
simplegrid;Python
simupy-flight;Python
SingleDop;Jupyter Notebook
SIRS;Jupyter Notebook
sitepod;PHP
skeleton_app;C
SMCPy;Python
smd-open-science-guidelines;
spaceapps;
spaceapps-phenomena_detection;Jupyter Notebook
SPoRT-resources;
spotthestation;TypeScript
spotthestation-backend;Python
SROMPy;Python
STEAM;Python
StereoPipeline;C++
stitchee;Python
STM-docs;
stol-mode;Emacs Lisp
Stratway;
svrstormsig;Python
svs;
sweepyng;
swSim;C++
System_Monitor_for_Radiation_Testing;Python
T-MATS;HTML
tblCRCTool;C
TCML;HTML
TechPort;
terraform-aws-cumulus-thin-egress-app;HCL
test;HTML
test-repo;
Three-Dimensional-Nozzle-Design-Code;C++
TLNS3D;Fortran
TOPS;
to_lab;C
trace-executive;
trace-ros-actions-autocoder;
trace-ros-connector;
trace-ros-executive;
Transform-to-Open-Science;
Transform-to-Open-Science-Book;
trick;C++
TrickCFS;C++
TrickFMI;C
TrickHLA;C++
tricksbn;C
tricksbn-demo;C
trrac;Jupyter Notebook
TSAT;HTML
TTECTrA;
turbo-design;Jupyter Notebook
tvsio;C
tvsio-demo;C
uam-apis;
uas_standards;
upsp-processing;C++
UQ-Kernel-Mini-App;Python
UQPCE;Python
USLP;C++
utm-apis;
utm-docs;Shell
UWB-mesh-ranging;C
VADER;JavaScript
VICAR;
VIIRS-demo;
VirtualADAPT;Matlab
visionworkbench;C++
VITALS;Jupyter Notebook
vscode-pvs;TypeScript
